tech,zone,year,month,hour,unit,value
Solar,Thailand,2023,1,204,fraction,0.353
Solar,Thailand,2023,1,205,fraction,0.408
Solar,Thailand,2023,1,206,fraction,0.435
Solar,Thailand,2023,1,207,fraction,0.419
Solar,Thailand,2023,1,208,fraction,0.357
Solar,Thailand,2023,1,209,fraction,0.245
Solar,Thailand,2023,1,210,fraction,0.115
Solar,Thailand,2023,1,211,fraction,0.02
Solar,Thailand,2023,1,212,fraction,0.0
Solar,Thailand,2023,1,213,fraction,0.0
Solar,Thailand,2023,1,214,fraction,0.0
Solar,Thailand,2023,1,215,fraction,0.0
Solar,Thailand,2023,1,216,fraction,0.0
Solar,Thailand,2023,1,217,fraction,0.0
Solar,Thailand,2023,1,218,fraction,0.0
Solar,Thailand,2023,1,219,fraction,0.0
Solar,Thailand,2023,1,220,fraction,0.0
Solar,Thailand,2023,1,221,fraction,0.0
Solar,Thailand,2023,1,222,fraction,0.0
Solar,Thailand,2023,1,223,fraction,0.0
Solar,Thailand,2023,1,224,fraction,0.034
Solar,Thailand,2023,1,225,fraction,0.18
Solar,Thailand,2023,1,226,fraction,0.325
Solar,Thailand,2023,1,227,fraction,0.457
Solar,Thailand,2023,1,228,fraction,0.536
Solar,Thailand,2023,1,229,fraction,0.591
Solar,Thailand,2023,1,230,fraction,0.587
Solar,Thailand,2023,1,231,fraction,0.556
Solar,Thailand,2023,1,232,fraction,0.465
Solar,Thailand,2023,1,233,fraction,0.345
Solar,Thailand,2023,1,234,fraction,0.193
Solar,Thailand,2023,1,235,fraction,0.047
Solar,Thailand,2023,1,236,fraction,0.0
Solar,Thailand,2023,1,237,fraction,0.0
Solar,Thailand,2023,1,238,fraction,0.0
Solar,Thailand,2023,1,239,fraction,0.0
Solar,Thailand,2023,1,240,fraction,0.0
Solar,Thailand,2023,1,241,fraction,0.0
Solar,Thailand,2023,1,242,fraction,0.0
Solar,Thailand,2023,1,243,fraction,0.0
Solar,Thailand,2023,1,244,fraction,0.0
Solar,Thailand,2023,1,245,fraction,0.0
Solar,Thailand,2023,1,246,fraction,0.0
Solar,Thailand,2023,1,247,fraction,0.0
Solar,Thailand,2023,1,248,fraction,0.032
Solar,Thailand,2023,1,249,fraction,0.186
Solar,Thailand,2023,1,250,fraction,0.358
Solar,Thailand,2023,1,251,fraction,0.521
Solar,Thailand,2023,1,252,fraction,0.613
Solar,Thailand,2023,1,253,fraction,0.641
Solar,Thailand,2023,1,254,fraction,0.669
Solar,Thailand,2023,1,255,fraction,0.637
Solar,Thailand,2023,1,256,fraction,0.539
Solar,Thailand,2023,1,257,fraction,0.424
Solar,Thailand,2023,1,258,fraction,0.242
Solar,Thailand,2023,1,259,fraction,0.054
Solar,Thailand,2023,1,260,fraction,0.0
Solar,Thailand,2023,1,261,fraction,0.0
Solar,Thailand,2023,1,262,fraction,0.0
Solar,Thailand,2023,1,263,fraction,0.0
Solar,Thailand,2023,1,264,fraction,0.0
Solar,Thailand,2023,1,265,fraction,0.0
Solar,Thailand,2023,1,266,fraction,0.0
Solar,Thailand,2023,1,267,fraction,0.0
Solar,Thailand,2023,1,268,fraction,0.0
Solar,Thailand,2023,1,269,fraction,0.0
Solar,Thailand,2023,1,270,fraction,0.0
Solar,Thailand,2023,1,271,fraction,0.0
Solar,Thailand,2023,1,272,fraction,0.045
Solar,Thailand,2023,1,273,fraction,0.206
Solar,Thailand,2023,1,274,fraction,0.373
Solar,Thailand,2023,1,275,fraction,0.504
Solar,Thailand,2023,1,276,fraction,0.588
Solar,Thailand,2023,1,277,fraction,0.623
Solar,Thailand,2023,1,278,fraction,0.613
Solar,Thailand,2023,1,279,fraction,0.546
Solar,Thailand,2023,1,280,fraction,0.457
Solar,Thailand,2023,1,281,fraction,0.332
Solar,Thailand,2023,1,282,fraction,0.183
Solar,Thailand,2023,1,283,fraction,0.05
Solar,Thailand,2023,1,284,fraction,0.0
Solar,Thailand,2023,1,285,fraction,0.0
Solar,Thailand,2023,1,286,fraction,0.0
Solar,Thailand,2023,1,287,fraction,0.0
Solar,Thailand,2023,1,288,fraction,0.0
Solar,Thailand,2023,1,289,fraction,0.0
Solar,Thailand,2023,1,290,fraction,0.0
Solar,Thailand,2023,1,291,fraction,0.0
Solar,Thailand,2023,1,292,fraction,0.0
Solar,Thailand,2023,1,293,fraction,0.0
Solar,Thailand,2023,1,294,fraction,0.0
Solar,Thailand,2023,1,295,fraction,0.0
Solar,Thailand,2023,1,296,fraction,0.037
Solar,Thailand,2023,1,297,fraction,0.17
Solar,Thailand,2023,1,298,fraction,0.31
Solar,Thailand,2023,1,299,fraction,0.424
Solar,Thailand,2023,1,300,fraction,0.467
Solar,Thailand,2023,1,301,fraction,0.487
Solar,Thailand,2023,1,302,fraction,0.446
Solar,Thailand,2023,1,303,fraction,0.38
Solar,Thailand,2023,1,304,fraction,0.298
Solar,Thailand,2023,1,305,fraction,0.215
Solar,Thailand,2023,1,306,fraction,0.115
Solar,Thailand,2023,1,307,fraction,0.024
Solar,Thailand,2023,1,308,fraction,0.0
Solar,Thailand,2023,1,309,fraction,0.0
Solar,Thailand,2023,1,310,fraction,0.0
Solar,Thailand,2023,1,311,fraction,0.0
Solar,Thailand,2023,1,312,fraction,0.0
Solar,Thailand,2023,1,313,fraction,0.0
Solar,Thailand,2023,1,314,fraction,0.0
Solar,Thailand,2023,1,315,fraction,0.0
Solar,Thailand,2023,1,316,fraction,0.0
Solar,Thailand,2023,1,317,fraction,0.0
Solar,Thailand,2023,1,318,fraction,0.0
Solar,Thailand,2023,1,319,fraction,0.0
Solar,Thailand,2023,1,320,fraction,0.021
Solar,Thailand,2023,1,321,fraction,0.124
Solar,Thailand,2023,1,322,fraction,0.209
Solar,Thailand,2023,1,323,fraction,0.293
Solar,Thailand,2023,1,324,fraction,0.343
Solar,Thailand,2023,1,325,fraction,0.374
Solar,Thailand,2023,1,326,fraction,0.357
Solar,Thailand,2023,1,327,fraction,0.339
Solar,Thailand,2023,1,328,fraction,0.285
Solar,Thailand,2023,1,329,fraction,0.199
Solar,Thailand,2023,1,330,fraction,0.113
Solar,Thailand,2023,1,331,fraction,0.025
Solar,Thailand,2023,1,332,fraction,0.0
Solar,Thailand,2023,1,333,fraction,0.0
Solar,Thailand,2023,1,334,fraction,0.0
Solar,Thailand,2023,1,335,fraction,0.0
Solar,Thailand,2023,1,336,fraction,0.0
Solar,Thailand,2023,1,337,fraction,0.0
Solar,Thailand,2023,1,338,fraction,0.0
Solar,Thailand,2023,1,339,fraction,0.0
Solar,Thailand,2023,1,340,fraction,0.0
Solar,Thailand,2023,1,341,fraction,0.0
Solar,Thailand,2023,1,342,fraction,0.0
Solar,Thailand,2023,1,343,fraction,0.0
Solar,Thailand,2023,1,344,fraction,0.021
