zone,year,month,hour,unit,value
Thailand,2023,1,250,MW,22917.22333333333
Thailand,2023,1,251,MW,23049.22
Thailand,2023,1,252,MW,22486.69666666666
Thailand,2023,1,253,MW,20791.70333333333
Thailand,2023,1,254,MW,22635.415
Thailand,2023,1,255,MW,23060.77666666667
Thailand,2023,1,256,MW,23092.59166666666
Thailand,2023,1,257,MW,22926.79666666667
Thailand,2023,1,258,MW,22474.27
Thailand,2023,1,259,MW,24615.65166666667
Thailand,2023,1,260,MW,24258.64499999999
Thailand,2023,1,261,MW,23377.905
Thailand,2023,1,262,MW,22136.58
Thailand,2023,1,263,MW,22068.80166666667
Thailand,2023,1,264,MW,21214.29833333334
Thailand,2023,1,265,MW,20043.15166666667
Thailand,2023,1,266,MW,19658.72833333334
Thailand,2023,1,267,MW,19239.50833333334
Thailand,2023,1,268,MW,18903.91166666666
Thailand,2023,1,269,MW,19043.09833333334
Thailand,2023,1,270,MW,20261.575
Thailand,2023,1,271,MW,21799.72499999999
Thailand,2023,1,272,MW,21186.23
Thailand,2023,1,273,MW,22285.23
Thailand,2023,1,274,MW,22380.285
Thailand,2023,1,275,MW,22515.39333333333
Thailand,2023,1,276,MW,22127.845
Thailand,2023,1,277,MW,20705.63666666667
Thailand,2023,1,278,MW,22900.17166666667
Thailand,2023,1,279,MW,23396.19
Thailand,2023,1,280,MW,23595.935
Thailand,2023,1,281,MW,23530.08
Thailand,2023,1,282,MW,23012.395
Thailand,2023,1,283,MW,25391.74666666666
Thailand,2023,1,284,MW,25165.91
Thailand,2023,1,285,MW,24191.02333333333
Thailand,2023,1,286,MW,22960.86666666667
Thailand,2023,1,287,MW,22829.015
Thailand,2023,1,288,MW,21762.78166666667
Thailand,2023,1,289,MW,20536.67666666667
Thailand,2023,1,290,MW,20088.81166666667
Thailand,2023,1,291,MW,19549.70833333333
Thailand,2023,1,292,MW,19247.86666666666
Thailand,2023,1,293,MW,19303.06666666666
Thailand,2023,1,294,MW,20327.52
Thailand,2023,1,295,MW,21806.26833333333
Thailand,2023,1,296,MW,21190.695
Thailand,2023,1,297,MW,22464.29
Thailand,2023,1,298,MW,22393.70833333333
Thailand,2023,1,299,MW,22310.26833333333
Thailand,2023,1,300,MW,21896.89166666667
Thailand,2023,1,301,MW,20619.14666666667
