station_id,year,month,unit,value
2,1,36,m3,686000000.0
2,1,37,m3,686000000.0
2,1,38,m3,686000000.0
2,1,39,m3,686000000.0
2,1,40,m3,686000000.0
2,1,41,m3,686000000.0
2,1,42,m3,686000000.0
2,1,43,m3,686000000.0
2,1,44,m3,686000000.0
2,1,45,m3,686000000.0
2,1,46,m3,686000000.0
2,1,47,m3,686000000.0
2,1,48,m3,686000000.0
3,1,1,m3,39000000.0
3,1,2,m3,39000000.0
3,1,3,m3,39000000.0
3,1,4,m3,39000000.0
3,1,5,m3,39000000.0
3,1,6,m3,39000000.0
3,1,7,m3,39000000.0
3,1,8,m3,39000000.0
3,1,9,m3,39000000.0
3,1,10,m3,39000000.0
3,1,11,m3,39000000.0
3,1,12,m3,39000000.0
3,1,13,m3,39000000.0
3,1,14,m3,39000000.0
3,1,15,m3,39000000.0
3,1,16,m3,39000000.0
3,1,17,m3,39000000.0
3,1,18,m3,39000000.0
3,1,19,m3,39000000.0
3,1,20,m3,39000000.0
3,1,21,m3,39000000.0
3,1,22,m3,39000000.0
3,1,23,m3,39000000.0
3,1,24,m3,39000000.0
3,1,25,m3,39000000.0
3,1,26,m3,39000000.0
3,1,27,m3,39000000.0
3,1,28,m3,39000000.0
3,1,29,m3,39000000.0
3,1,30,m3,39000000.0
3,1,31,m3,39000000.0
3,1,32,m3,39000000.0
3,1,33,m3,39000000.0
3,1,34,m3,39000000.0
3,1,35,m3,39000000.0
3,1,36,m3,39000000.0
3,1,37,m3,39000000.0
3,1,38,m3,39000000.0
3,1,39,m3,39000000.0
3,1,40,m3,39000000.0
3,1,41,m3,39000000.0
3,1,42,m3,39000000.0
3,1,43,m3,39000000.0
3,1,44,m3,39000000.0
3,1,45,m3,39000000.0
3,1,46,m3,39000000.0
3,1,47,m3,39000000.0
3,1,48,m3,39000000.0
4,1,1,m3,14000000.000000002
4,1,2,m3,14000000.000000002
4,1,3,m3,14000000.000000002
4,1,4,m3,14000000.000000002
4,1,5,m3,14000000.000000002
4,1,6,m3,14000000.000000002
4,1,7,m3,14000000.000000002
4,1,8,m3,14000000.000000002
4,1,9,m3,14000000.000000002
4,1,10,m3,14000000.000000002
4,1,11,m3,14000000.000000002
4,1,12,m3,14000000.000000002
4,1,13,m3,14000000.000000002
4,1,14,m3,14000000.000000002
4,1,15,m3,14000000.000000002
4,1,16,m3,14000000.000000002
4,1,17,m3,14000000.000000002
4,1,18,m3,14000000.000000002
4,1,19,m3,14000000.000000002
4,1,20,m3,14000000.000000002
4,1,21,m3,14000000.000000002
4,1,22,m3,14000000.000000002
4,1,23,m3,14000000.000000002
4,1,24,m3,14000000.000000002
4,1,25,m3,14000000.000000002
4,1,26,m3,14000000.000000002
4,1,27,m3,14000000.000000002
4,1,28,m3,14000000.000000002
4,1,29,m3,14000000.000000002
4,1,30,m3,14000000.000000002
4,1,31,m3,14000000.000000002
4,1,32,m3,14000000.000000002
4,1,33,m3,14000000.000000002
4,1,34,m3,14000000.000000002
4,1,35,m3,14000000.000000002
4,1,36,m3,14000000.000000002
4,1,37,m3,14000000.000000002
4,1,38,m3,14000000.000000002
4,1,39,m3,14000000.000000002
4,1,40,m3,14000000.000000002
4,1,41,m3,14000000.000000002
4,1,42,m3,14000000.000000002
4,1,43,m3,14000000.000000002
4,1,44,m3,14000000.000000002
4,1,45,m3,14000000.000000002
4,1,46,m3,14000000.000000002
4,1,47,m3,14000000.000000002
4,1,48,m3,14000000.000000002
5,1,1,m3,3000000.0
5,1,2,m3,3000000.0
5,1,3,m3,3000000.0
5,1,4,m3,3000000.0
5,1,5,m3,3000000.0
5,1,6,m3,3000000.0
5,1,7,m3,3000000.0
5,1,8,m3,3000000.0
5,1,9,m3,3000000.0
5,1,10,m3,3000000.0
