tech,zone,year,month,hour,unit,value
Solar,BA1,2029,1,1,fraction,0.0
Solar,BA1,2029,1,2,fraction,0.0
Solar,BA1,2029,1,3,fraction,0.0
Solar,BA1,2029,1,4,fraction,0.0
Solar,BA1,2029,1,5,fraction,0.0
Solar,BA1,2029,1,6,fraction,0.0
Solar,BA1,2029,1,7,fraction,0.0
Solar,BA1,2029,1,8,fraction,0.0
Solar,BA1,2029,1,9,fraction,0.011
Solar,BA1,2029,1,10,fraction,0.046
Solar,BA1,2029,1,11,fraction,0.09
Solar,BA1,2029,1,12,fraction,0.15
Solar,BA1,2029,1,13,fraction,0.223
Solar,BA1,2029,1,14,fraction,0.217
Solar,BA1,2029,1,15,fraction,0.2
Solar,BA1,2029,1,16,fraction,0.09
Solar,BA1,2029,1,17,fraction,0.0
Solar,BA1,2029,1,18,fraction,0.0
Solar,BA1,2029,1,19,fraction,0.0
Solar,BA1,2029,1,20,fraction,0.0
Solar,BA1,2029,1,21,fraction,0.0
Solar,BA1,2029,1,22,fraction,0.0
Solar,BA1,2029,1,23,fraction,0.0
Solar,BA1,2029,1,24,fraction,0.0
Solar,BA1,2029,1,25,fraction,0.0
Solar,BA1,2029,1,26,fraction,0.0
Solar,BA1,2029,1,27,fraction,0.0
Solar,BA1,2029,1,28,fraction,0.0
Solar,BA1,2029,1,29,fraction,0.0
Solar,BA1,2029,1,30,fraction,0.0
Solar,BA1,2029,1,31,fraction,0.0
Solar,BA1,2029,1,32,fraction,0.001
Solar,BA1,2029,1,33,fraction,0.13
Solar,BA1,2029,1,34,fraction,0.155
Solar,BA1,2029,1,35,fraction,0.136
Solar,BA1,2029,1,36,fraction,0.28
Solar,BA1,2029,1,37,fraction,0.421
Solar,BA1,2029,1,38,fraction,0.468
Solar,BA1,2029,1,39,fraction,0.333
Solar,BA1,2029,1,40,fraction,0.114
Solar,BA1,2029,1,41,fraction,0.0
Solar,BA1,2029,1,42,fraction,0.0
Solar,BA1,2029,1,43,fraction,0.0
Solar,BA1,2029,1,44,fraction,0.0
Solar,BA1,2029,1,45,fraction,0.0
