station_id,year,month,hour,unit,value
11,2028,1,24,m3/s,0.0
11,2028,1,25,m3/s,0.0
11,2028,1,26,m3/s,0.0
11,2028,1,27,m3/s,0.0
11,2028,1,28,m3/s,0.0
11,2028,1,29,m3/s,0.0
11,2028,1,30,m3/s,0.0
11,2028,1,31,m3/s,0.0
11,2028,1,32,m3/s,0.0
11,2028,1,33,m3/s,0.0
11,2028,1,34,m3/s,0.0
11,2028,1,35,m3/s,0.0
11,2028,1,36,m3/s,0.0
11,2028,1,37,m3/s,0.0
11,2028,1,38,m3/s,0.0
11,2028,1,39,m3/s,0.0
11,2028,1,40,m3/s,0.0
11,2028,1,41,m3/s,0.0
11,2028,1,42,m3/s,0.0
11,2028,1,43,m3/s,0.0
11,2028,1,44,m3/s,0.0
11,2028,1,45,m3/s,0.0
11,2028,1,46,m3/s,0.0
11,2028,1,47,m3/s,0.0
11,2028,1,48,m3/s,0.0
11,2029,1,1,m3/s,0.0
11,2029,1,2,m3/s,0.0
11,2029,1,3,m3/s,0.0
11,2029,1,4,m3/s,0.0
11,2029,1,5,m3/s,0.0
11,2029,1,6,m3/s,0.0
11,2029,1,7,m3/s,0.0
11,2029,1,8,m3/s,0.0
11,2029,1,9,m3/s,0.0
11,2029,1,10,m3/s,0.0
11,2029,1,11,m3/s,0.0
11,2029,1,12,m3/s,0.0
11,2029,1,13,m3/s,0.0
11,2029,1,14,m3/s,0.0
11,2029,1,15,m3/s,0.0
11,2029,1,16,m3/s,0.0
11,2029,1,17,m3/s,0.0
11,2029,1,18,m3/s,0.0
11,2029,1,19,m3/s,0.0
11,2029,1,20,m3/s,0.0
11,2029,1,21,m3/s,0.0
11,2029,1,22,m3/s,0.0
11,2029,1,23,m3/s,0.0
11,2029,1,24,m3/s,0.0
11,2029,1,25,m3/s,17.0
11,2029,1,26,m3/s,17.0
11,2029,1,27,m3/s,17.0
11,2029,1,28,m3/s,17.0
11,2029,1,29,m3/s,17.0
11,2029,1,30,m3/s,17.0
11,2029,1,31,m3/s,17.0
11,2029,1,32,m3/s,17.0
11,2029,1,33,m3/s,17.0
11,2029,1,34,m3/s,17.0
11,2029,1,35,m3/s,17.0
11,2029,1,36,m3/s,17.0
11,2029,1,37,m3/s,17.0
11,2029,1,38,m3/s,17.0
11,2029,1,39,m3/s,17.0
11,2029,1,40,m3/s,17.0
11,2029,1,41,m3/s,17.0
11,2029,1,42,m3/s,17.0
11,2029,1,43,m3/s,17.0
11,2029,1,44,m3/s,17.0
11,2029,1,45,m3/s,17.0
11,2029,1,46,m3/s,17.0
11,2029,1,47,m3/s,17.0
11,2029,1,48,m3/s,17.0
11,2030,1,1,m3/s,0.0
11,2030,1,2,m3/s,0.0
11,2030,1,3,m3/s,0.0
11,2030,1,4,m3/s,0.0
11,2030,1,5,m3/s,0.0
11,2030,1,6,m3/s,0.0
11,2030,1,7,m3/s,0.0
11,2030,1,8,m3/s,0.0
11,2030,1,9,m3/s,0.0
11,2030,1,10,m3/s,0.0
11,2030,1,11,m3/s,0.0
11,2030,1,12,m3/s,0.0
11,2030,1,13,m3/s,0.0
11,2030,1,14,m3/s,0.0
11,2030,1,15,m3/s,0.0
11,2030,1,16,m3/s,0.0
11,2030,1,17,m3/s,0.0
11,2030,1,18,m3/s,0.0
11,2030,1,19,m3/s,0.0
11,2030,1,20,m3/s,0.0
11,2030,1,21,m3/s,0.0
11,2030,1,22,m3/s,0.0
11,2030,1,23,m3/s,0.0
11,2030,1,24,m3/s,0.0
11,2030,1,25,m3/s,0.0
11,2030,1,26,m3/s,0.0
11,2030,1,27,m3/s,0.0
11,2030,1,28,m3/s,0.0
11,2030,1,29,m3/s,0.0
11,2030,1,30,m3/s,0.0
11,2030,1,31,m3/s,0.0
11,2030,1,32,m3/s,0.0
11,2030,1,33,m3/s,0.0
11,2030,1,34,m3/s,0.0
11,2030,1,35,m3/s,0.0
11,2030,1,36,m3/s,0.0
11,2030,1,37,m3/s,0.0
11,2030,1,38,m3/s,0.0
11,2030,1,39,m3/s,0.0
11,2030,1,40,m3/s,0.0
11,2030,1,41,m3/s,0.0
11,2030,1,42,m3/s,0.0
11,2030,1,43,m3/s,0.0
11,2030,1,44,m3/s,0.0
11,2030,1,45,m3/s,0.0
11,2030,1,46,m3/s,0.0
11,2030,1,47,m3/s,0.0
11,2030,1,48,m3/s,0.0
12,2020,1,1,m3/s,0.0
12,2020,1,2,m3/s,0.0
12,2020,1,3,m3/s,0.0
12,2020,1,4,m3/s,0.0
12,2020,1,5,m3/s,0.0
12,2020,1,6,m3/s,0.0
12,2020,1,7,m3/s,0.0
12,2020,1,8,m3/s,0.0
12,2020,1,9,m3/s,0.0
12,2020,1,10,m3/s,0.0
12,2020,1,11,m3/s,0.0
12,2020,1,12,m3/s,0.0
12,2020,1,13,m3/s,0.0
12,2020,1,14,m3/s,0.0
12,2020,1,15,m3/s,0.0
12,2020,1,16,m3/s,0.0
12,2020,1,17,m3/s,0.0
12,2020,1,18,m3/s,0.0
12,2020,1,19,m3/s,0.0
12,2020,1,20,m3/s,0.0
12,2020,1,21,m3/s,0.0
12,2020,1,22,m3/s,0.0
12,2020,1,23,m3/s,0.0
12,2020,1,24,m3/s,0.0
12,2020,1,25,m3/s,795.7
12,2020,1,26,m3/s,795.7
12,2020,1,27,m3/s,795.7
12,2020,1,28,m3/s,795.7
12,2020,1,29,m3/s,795.7
12,2020,1,30,m3/s,795.7
12,2020,1,31,m3/s,795.7
12,2020,1,32,m3/s,795.7
