zone1,zone2,year,unit,capacity_max,capacity_min
bus178,bus181,2023,MW,0.0,0.0
bus181,bus178,2023,MW,0.0,0.0
bus179,bus118,2023,MW,0.0,0.0
bus118,bus179,2023,MW,0.0,0.0
bus179,bus178,2023,MW,0.0,0.0
bus178,bus179,2023,MW,0.0,0.0
bus179,bus180,2023,MW,0.0,0.0
bus180,bus179,2023,MW,0.0,0.0
bus18,bus21,2023,MW,0.0,0.0
bus21,bus18,2023,MW,0.0,0.0
bus180,bus181,2023,MW,0.0,0.0
bus181,bus180,2023,MW,0.0,0.0
bus181,bus117,2023,MW,0.0,0.0
bus117,bus181,2023,MW,0.0,0.0
bus181,bus224,2023,MW,0.0,0.0
bus224,bus181,2023,MW,0.0,0.0
bus182,bus178,2023,MW,0.0,0.0
bus178,bus182,2023,MW,0.0,0.0
bus182,bus185,2023,MW,0.0,0.0
bus185,bus182,2023,MW,0.0,0.0
bus183,bus190,2023,MW,0.0,0.0
bus190,bus183,2023,MW,0.0,0.0
bus185,bus184,2023,MW,0.0,0.0
bus184,bus185,2023,MW,0.0,0.0
bus185,bus186,2023,MW,0.0,0.0
bus186,bus185,2023,MW,0.0,0.0
bus186,bus193,2023,MW,0.0,0.0
bus193,bus186,2023,MW,0.0,0.0
bus186,bus195,2023,MW,0.0,0.0
bus195,bus186,2023,MW,0.0,0.0
bus187,bus190,2023,MW,0.0,0.0
bus190,bus187,2023,MW,0.0,0.0
bus187,bus192,2023,MW,0.0,0.0
bus192,bus187,2023,MW,0.0,0.0
bus188,bus229,2023,MW,0.0,0.0
bus229,bus188,2023,MW,0.0,0.0
bus189,bus182,2023,MW,0.0,0.0
bus182,bus189,2023,MW,0.0,0.0
bus189,bus190,2023,MW,0.0,0.0
bus190,bus189,2023,MW,0.0,0.0
bus19,bus20,2023,MW,0.0,0.0
bus20,bus19,2023,MW,0.0,0.0
bus190,bus192,2023,MW,0.0,0.0
bus192,bus190,2023,MW,0.0,0.0
bus190,bus221,2023,MW,0.0,0.0
bus221,bus190,2023,MW,0.0,0.0
bus191,bus189,2023,MW,0.0,0.0
bus189,bus191,2023,MW,0.0,0.0
bus191,bus220,2023,MW,0.0,0.0
bus220,bus191,2023,MW,0.0,0.0
bus192,bus216,2023,MW,0.0,0.0
bus216,bus192,2023,MW,0.0,0.0
bus192,bus229,2023,MW,0.0,0.0
bus229,bus192,2023,MW,0.0,0.0
bus193,bus187,2023,MW,0.0,0.0
bus187,bus193,2023,MW,0.0,0.0
bus194,bus188,2023,MW,0.0,0.0
bus188,bus194,2023,MW,0.0,0.0
bus195,bus196,2023,MW,0.0,0.0
bus196,bus195,2023,MW,0.0,0.0
bus196,bus202,2023,MW,0.0,0.0
bus202,bus196,2023,MW,0.0,0.0
bus199,bus198,2023,MW,0.0,0.0
bus198,bus199,2023,MW,0.0,0.0
bus2,bus3,2023,MW,0.0,0.0
bus3,bus2,2023,MW,0.0,0.0
bus2,bus8,2023,MW,0.0,0.0
bus8,bus2,2023,MW,0.0,0.0
bus2,bus9,2023,MW,0.0,0.0
bus9,bus2,2023,MW,0.0,0.0
bus200,bus198,2023,MW,0.0,0.0
