zone1,zone2,unit,value
bus240,bus241,MW/rad,1000.0
bus241,bus242,MW/rad,1000.0
bus242,bus243,MW/rad,1688.0
bus233,bus243,MW/rad,1688.0
bus241,bus243,MW/rad,1688.0
bus244,bus245,MW/rad,6962.0
bus236,bus245,MW/rad,6962.0
bus245,bus246,MW/rad,6962.0
bus245,bus248,MW/rad,6962.0
bus246,bus249,MW/rad,6962.0
bus246,bus250,MW/rad,6962.0
bus247,bus248,MW/rad,6962.0
bus247,bus310,MW/rad,13924.0
bus248,bus250,MW/rad,27850.0
bus248,bus249,MW/rad,6962.0
bus25,bus26,MW/rad,1000.0
bus247,bus250,MW/rad,6962.0
bus250,bus253,MW/rad,1688.0
bus251,bus252,MW/rad,1688.0
bus250,bus252,MW/rad,3378.0
bus253,bus257,MW/rad,1688.0
bus253,bus259,MW/rad,1688.0
bus245,bus254,MW/rad,6962.0
bus245,bus255,MW/rad,6962.0
bus256,bus258,MW/rad,1000.0
bus257,bus262,MW/rad,1688.0
bus258,bus259,MW/rad,1000.0
bus24,bus26,MW/rad,1688.0
bus260,bus262,MW/rad,1688.0
bus261,bus262,MW/rad,1688.0
bus261,bus268,MW/rad,1688.0
bus258,bus262,MW/rad,1688.0
bus262,bus263,MW/rad,3378.0
bus264,bus266,MW/rad,1688.0
bus264,bus267,MW/rad,1688.0
bus264,bus265,MW/rad,1688.0
bus265,bus266,MW/rad,1688.0
bus231,bus266,MW/rad,1000.0
bus232,bus266,MW/rad,1000.0
bus235,bus266,MW/rad,1688.0
bus226,bus267,MW/rad,1688.0
bus262,bus267,MW/rad,1688.0
bus266,bus268,MW/rad,1688.0
bus268,bus269,MW/rad,5066.0
bus268,bus271,MW/rad,1688.0
bus258,bus269,MW/rad,1000.0
bus260,bus269,MW/rad,1000.0
bus269,bus270,MW/rad,1000.0
bus27,bus30,MW/rad,1688.0
bus102,bus272,MW/rad,6962.0
bus246,bus272,MW/rad,6962.0
bus272,bus273,MW/rad,6962.0
bus252,bus273,MW/rad,6962.0
bus269,bus273,MW/rad,6962.0
bus275,bus289,MW/rad,1688.0
bus274,bus276,MW/rad,1688.0
bus275,bus276,MW/rad,1688.0
bus276,bus277,MW/rad,1688.0
bus277,bus293,MW/rad,1688.0
bus277,bus279,MW/rad,1688.0
bus278,bus279,MW/rad,1688.0
bus28,bus45,MW/rad,1000.0
bus278,bus281,MW/rad,6962.0
bus281,bus282,MW/rad,6962.0
bus103,bus283,MW/rad,1688.0
