zone1,zone2,unit,value
bus189,bus191,fraction,0.95
bus191,bus220,fraction,0.95
bus220,bus191,fraction,0.95
bus192,bus216,fraction,0.95
bus216,bus192,fraction,0.95
bus192,bus229,fraction,0.95
bus229,bus192,fraction,0.95
bus193,bus187,fraction,0.95
bus187,bus193,fraction,0.95
bus194,bus188,fraction,0.95
bus188,bus194,fraction,0.95
bus195,bus196,fraction,0.95
bus196,bus195,fraction,0.95
bus196,bus202,fraction,0.95
bus202,bus196,fraction,0.95
bus199,bus198,fraction,0.95
bus198,bus199,fraction,0.95
bus2,bus3,fraction,0.95
bus3,bus2,fraction,0.95
bus2,bus8,fraction,0.95
bus8,bus2,fraction,0.95
bus2,bus9,fraction,0.95
bus9,bus2,fraction,0.95
bus200,bus198,fraction,0.95
bus198,bus200,fraction,0.95
bus202,bus197,fraction,0.95
bus197,bus202,fraction,0.95
bus203,bus202,fraction,0.95
bus202,bus203,fraction,0.95
bus204,bus205,fraction,0.95
bus205,bus204,fraction,0.95
bus205,bus207,fraction,0.95
bus207,bus205,fraction,0.95
bus206,bus205,fraction,0.95
bus205,bus206,fraction,0.95
bus207,bus208,fraction,0.95
bus208,bus207,fraction,0.95
bus208,bus387,fraction,0.95
bus387,bus208,fraction,0.95
bus209,bus405,fraction,0.95
bus405,bus209,fraction,0.95
bus21,bus7,fraction,0.95
bus7,bus21,fraction,0.95
bus210,bus403,fraction,0.95
bus403,bus210,fraction,0.95
bus211,bus229,fraction,0.95
bus229,bus211,fraction,0.95
bus213,bus358,fraction,0.95
bus358,bus213,fraction,0.95
bus214,bus231,fraction,0.95
bus231,bus214,fraction,0.95
bus216,bus217,fraction,0.95
bus217,bus216,fraction,0.95
bus216,bus388,fraction,0.95
bus388,bus216,fraction,0.95
bus217,bus218,fraction,0.95
bus218,bus217,fraction,0.95
bus218,bus220,fraction,0.95
bus220,bus218,fraction,0.95
bus22,bus17,fraction,0.95
bus17,bus22,fraction,0.95
bus22,bus58,fraction,0.95
bus58,bus22,fraction,0.95
bus221,bus220,fraction,0.95
bus220,bus221,fraction,0.95
bus221,bus224,fraction,0.95
bus224,bus221,fraction,0.95
bus222,bus225,fraction,0.95
bus225,bus222,fraction,0.95
bus222,bus261,fraction,0.95
bus261,bus222,fraction,0.95
bus222,bus268,fraction,0.95
bus268,bus222,fraction,0.95
bus223,bus222,fraction,0.95
bus222,bus223,fraction,0.95
bus223,bus229,fraction,0.95
bus229,bus223,fraction,0.95
bus224,bus114,fraction,0.95
bus114,bus224,fraction,0.95
bus224,bus180,fraction,0.95
bus180,bus224,fraction,0.95
bus224,bus223,fraction,0.95
bus223,bus224,fraction,0.95
bus226,bus227,fraction,0.95
bus227,bus226,fraction,0.95
bus226,bus228,fraction,0.95
bus228,bus226,fraction,0.95
bus227,bus225,fraction,0.95
bus225,bus227,fraction,0.95
bus227,bus229,fraction,0.95
bus229,bus227,fraction,0.95
bus229,bus214,fraction,0.95
bus214,bus229,fraction,0.95
bus229,bus215,fraction,0.95
bus215,bus229,fraction,0.95
bus229,bus219,fraction,0.95
bus219,bus229,fraction,0.95
bus229,bus233,fraction,0.95
bus233,bus229,fraction,0.95
bus229,bus234,fraction,0.95
bus234,bus229,fraction,0.95
bus229,bus265,fraction,0.95
bus265,bus229,fraction,0.95
bus23,bus24,fraction,0.95
bus24,bus23,fraction,0.95
bus23,bus43,fraction,0.95
bus43,bus23,fraction,0.95
bus23,bus57,fraction,0.95
bus57,bus23,fraction,0.95
bus233,bus236,fraction,0.95
bus236,bus233,fraction,0.95
bus233,bus261,fraction,0.95
bus261,bus233,fraction,0.95
bus234,bus235,fraction,0.95
bus235,bus234,fraction,0.95
bus234,bus236,fraction,0.95
bus236,bus234,fraction,0.95
bus234,bus243,fraction,0.95
bus243,bus234,fraction,0.95
bus236,bus213,fraction,0.95
bus213,bus236,fraction,0.95
bus236,bus255,fraction,0.95
bus255,bus236,fraction,0.95
bus238,bus230,fraction,0.95
bus230,bus238,fraction,0.95
bus238,bus237,fraction,0.95
bus237,bus238,fraction,0.95
bus238,bus242,fraction,0.95
bus242,bus238,fraction,0.95
bus238,bus243,fraction,0.95
bus243,bus238,fraction,0.95
bus238,bus344,fraction,0.95
bus344,bus238,fraction,0.95
bus239,bus238,fraction,0.95
bus238,bus239,fraction,0.95
bus239,bus263,fraction,0.95
bus263,bus239,fraction,0.95
bus24,bus17,fraction,0.95
bus17,bus24,fraction,0.95
bus24,bus27,fraction,0.95
bus27,bus24,fraction,0.95
bus240,bus344,fraction,0.95
bus344,bus240,fraction,0.95
bus240,bus345,fraction,0.95
bus345,bus240,fraction,0.95
bus241,bus240,fraction,0.95
bus240,bus241,fraction,0.95
bus242,bus241,fraction,0.95
bus241,bus242,fraction,0.95
bus242,bus243,fraction,0.95
bus243,bus242,fraction,0.95
bus243,bus233,fraction,0.95
bus233,bus243,fraction,0.95
bus243,bus241,fraction,0.95
bus241,bus243,fraction,0.95
bus244,bus245,fraction,0.95
bus245,bus244,fraction,0.95
bus245,bus236,fraction,0.95
bus236,bus245,fraction,0.95
bus245,bus246,fraction,0.95
bus246,bus245,fraction,0.95
bus245,bus248,fraction,0.95
bus248,bus245,fraction,0.95
bus246,bus249,fraction,0.95
bus249,bus246,fraction,0.95
bus246,bus250,fraction,0.95
bus250,bus246,fraction,0.95
bus247,bus248,fraction,0.95
bus248,bus247,fraction,0.95
bus247,bus310,fraction,0.95
bus310,bus247,fraction,0.95
bus248,bus250,fraction,0.95
bus250,bus248,fraction,0.95
bus249,bus248,fraction,0.95
bus248,bus249,fraction,0.95
bus25,bus26,fraction,0.95
bus26,bus25,fraction,0.95
bus250,bus247,fraction,0.95
bus247,bus250,fraction,0.95
bus250,bus253,fraction,0.95
bus253,bus250,fraction,0.95
bus251,bus252,fraction,0.95
bus252,bus251,fraction,0.95
bus252,bus250,fraction,0.95
bus250,bus252,fraction,0.95
bus253,bus257,fraction,0.95
bus257,bus253,fraction,0.95
bus253,bus259,fraction,0.95
bus259,bus253,fraction,0.95
bus254,bus245,fraction,0.95
bus245,bus254,fraction,0.95
bus255,bus245,fraction,0.95
bus245,bus255,fraction,0.95
bus256,bus258,fraction,0.95
bus258,bus256,fraction,0.95
bus257,bus262,fraction,0.95
bus262,bus257,fraction,0.95
bus259,bus258,fraction,0.95
bus258,bus259,fraction,0.95
bus26,bus24,fraction,0.95
bus24,bus26,fraction,0.95
bus260,bus262,fraction,0.95
bus262,bus260,fraction,0.95
bus261,bus262,fraction,0.95
bus262,bus261,fraction,0.95
bus261,bus268,fraction,0.95
bus268,bus261,fraction,0.95
bus262,bus258,fraction,0.95
bus258,bus262,fraction,0.95
bus262,bus263,fraction,0.95
bus263,bus262,fraction,0.95
bus264,bus266,fraction,0.95
bus266,bus264,fraction,0.95
bus264,bus267,fraction,0.95
bus267,bus264,fraction,0.95
bus265,bus264,fraction,0.95
bus264,bus265,fraction,0.95
bus265,bus266,fraction,0.95
bus266,bus265,fraction,0.95
bus266,bus231,fraction,0.95
bus231,bus266,fraction,0.95
bus266,bus232,fraction,0.95
bus232,bus266,fraction,0.95
bus266,bus235,fraction,0.95
bus235,bus266,fraction,0.95
bus267,bus226,fraction,0.95
bus226,bus267,fraction,0.95
bus267,bus262,fraction,0.95
bus262,bus267,fraction,0.95
bus268,bus266,fraction,0.95
bus266,bus268,fraction,0.95
bus268,bus269,fraction,0.95
bus269,bus268,fraction,0.95
bus268,bus271,fraction,0.95
bus271,bus268,fraction,0.95
bus269,bus258,fraction,0.95
bus258,bus269,fraction,0.95
bus269,bus260,fraction,0.95
bus260,bus269,fraction,0.95
bus269,bus270,fraction,0.95
bus270,bus269,fraction,0.95
bus27,bus30,fraction,0.95
bus30,bus27,fraction,0.95
bus272,bus102,fraction,0.95
bus102,bus272,fraction,0.95
bus272,bus246,fraction,0.95
bus246,bus272,fraction,0.95
bus272,bus273,fraction,0.95
bus273,bus272,fraction,0.95
bus273,bus252,fraction,0.95
bus252,bus273,fraction,0.95
bus273,bus269,fraction,0.95
bus269,bus273,fraction,0.95
bus275,bus289,fraction,0.95
bus289,bus275,fraction,0.95
bus276,bus274,fraction,0.95
bus274,bus276,fraction,0.95
bus276,bus275,fraction,0.95
bus275,bus276,fraction,0.95
bus277,bus276,fraction,0.95
bus276,bus277,fraction,0.95
bus277,bus293,fraction,0.95
bus293,bus277,fraction,0.95
bus279,bus277,fraction,0.95
bus277,bus279,fraction,0.95
bus279,bus278,fraction,0.95
bus278,bus279,fraction,0.95
bus28,bus45,fraction,0.95
bus45,bus28,fraction,0.95
bus281,bus278,fraction,0.95
bus278,bus281,fraction,0.95
bus281,bus282,fraction,0.95
bus282,bus281,fraction,0.95
bus283,bus103,fraction,0.95
bus103,bus283,fraction,0.95
bus283,bus284,fraction,0.95
bus284,bus283,fraction,0.95
bus284,bus285,fraction,0.95
bus285,bus284,fraction,0.95
bus285,bus288,fraction,0.95
bus288,bus285,fraction,0.95
