tech,zone,year,month,hour,unit,value
340_Solar,system,2011,1,13,fraction,0.0528837796619
340_Solar,system,2011,1,14,fraction,0.0473055709518
340_Solar,system,2011,1,15,fraction,0.0134562685063
340_Solar,system,2011,1,16,fraction,0.0
340_Solar,system,2011,1,17,fraction,0.0
340_Solar,system,2011,1,18,fraction,0.0
340_Solar,system,2011,1,19,fraction,0.0
340_Solar,system,2011,1,20,fraction,0.0
340_Solar,system,2011,1,21,fraction,0.0
340_Solar,system,2011,1,22,fraction,0.0
340_Solar,system,2011,1,23,fraction,0.0
340_Solar,system,2011,1,24,fraction,0.0
341_Solar,system,2011,1,1,fraction,0.0
341_Solar,system,2011,1,2,fraction,0.0
341_Solar,system,2011,1,3,fraction,0.0
341_Solar,system,2011,1,4,fraction,0.0
341_Solar,system,2011,1,5,fraction,0.0
341_Solar,system,2011,1,6,fraction,0.0
341_Solar,system,2011,1,7,fraction,0.0
341_Solar,system,2011,1,8,fraction,0.0
341_Solar,system,2011,1,9,fraction,0.0
341_Solar,system,2011,1,10,fraction,0.0701963071249
341_Solar,system,2011,1,11,fraction,0.0826293791403
341_Solar,system,2011,1,12,fraction,0.0580424342328
341_Solar,system,2011,1,13,fraction,0.0560656964982
341_Solar,system,2011,1,14,fraction,0.0510917080465
341_Solar,system,2011,1,15,fraction,0.0161510500221
341_Solar,system,2011,1,16,fraction,0.0
341_Solar,system,2011,1,17,fraction,0.0
341_Solar,system,2011,1,18,fraction,0.0
341_Solar,system,2011,1,19,fraction,0.0
341_Solar,system,2011,1,20,fraction,0.0
341_Solar,system,2011,1,21,fraction,0.0
341_Solar,system,2011,1,22,fraction,0.0
341_Solar,system,2011,1,23,fraction,0.0
341_Solar,system,2011,1,24,fraction,0.0
342_Solar,system,2011,1,1,fraction,0.0
342_Solar,system,2011,1,2,fraction,0.0
342_Solar,system,2011,1,3,fraction,0.0
342_Solar,system,2011,1,4,fraction,0.0
342_Solar,system,2011,1,5,fraction,0.0
342_Solar,system,2011,1,6,fraction,0.0
342_Solar,system,2011,1,7,fraction,0.0
342_Solar,system,2011,1,8,fraction,0.0
342_Solar,system,2011,1,9,fraction,0.0
342_Solar,system,2011,1,10,fraction,0.0274273274532
342_Solar,system,2011,1,11,fraction,0.0319531727029
342_Solar,system,2011,1,12,fraction,0.0331380099763
342_Solar,system,2011,1,13,fraction,0.030549610963
342_Solar,system,2011,1,14,fraction,0.0259368758059
342_Solar,system,2011,1,15,fraction,0.00834645059002
342_Solar,system,2011,1,16,fraction,0.0
342_Solar,system,2011,1,17,fraction,0.0
342_Solar,system,2011,1,18,fraction,0.0
342_Solar,system,2011,1,19,fraction,0.0
342_Solar,system,2011,1,20,fraction,0.0
342_Solar,system,2011,1,21,fraction,0.0
342_Solar,system,2011,1,22,fraction,0.0
342_Solar,system,2011,1,23,fraction,0.0
342_Solar,system,2011,1,24,fraction,0.0
343_Solar,system,2011,1,1,fraction,0.0
343_Solar,system,2011,1,2,fraction,0.0
343_Solar,system,2011,1,3,fraction,0.0
343_Solar,system,2011,1,4,fraction,0.0
343_Solar,system,2011,1,5,fraction,0.0
343_Solar,system,2011,1,6,fraction,0.0
343_Solar,system,2011,1,7,fraction,0.0
343_Solar,system,2011,1,8,fraction,0.0
343_Solar,system,2011,1,9,fraction,0.0
343_Solar,system,2011,1,10,fraction,0.0553285649942
343_Solar,system,2011,1,11,fraction,0.0702229245522
343_Solar,system,2011,1,12,fraction,0.0701552350428
343_Solar,system,2011,1,13,fraction,0.0573914693743
343_Solar,system,2011,1,14,fraction,0.0336809545524
343_Solar,system,2011,1,15,fraction,0.0111273702883
343_Solar,system,2011,1,16,fraction,0.0
343_Solar,system,2011,1,17,fraction,0.0
343_Solar,system,2011,1,18,fraction,0.0
343_Solar,system,2011,1,19,fraction,0.0
343_Solar,system,2011,1,20,fraction,0.0
343_Solar,system,2011,1,21,fraction,0.0
343_Solar,system,2011,1,22,fraction,0.0
343_Solar,system,2011,1,23,fraction,0.0
343_Solar,system,2011,1,24,fraction,0.0
344_Solar,system,2011,1,1,fraction,0.0
344_Solar,system,2011,1,2,fraction,0.0
344_Solar,system,2011,1,3,fraction,0.0
344_Solar,system,2011,1,4,fraction,0.0
344_Solar,system,2011,1,5,fraction,0.0
344_Solar,system,2011,1,6,fraction,0.0
344_Solar,system,2011,1,7,fraction,0.0
344_Solar,system,2011,1,8,fraction,0.0
344_Solar,system,2011,1,9,fraction,0.0525218827045
344_Solar,system,2011,1,10,fraction,0.0664820005082
344_Solar,system,2011,1,11,fraction,0.0673745955538
344_Solar,system,2011,1,12,fraction,0.0566608958039
344_Solar,system,2011,1,13,fraction,0.0462599164077
344_Solar,system,2011,1,14,fraction,0.0343028387166
344_Solar,system,2011,1,15,fraction,0.0102695590273
344_Solar,system,2011,1,16,fraction,0.0
344_Solar,system,2011,1,17,fraction,0.0
344_Solar,system,2011,1,18,fraction,0.0
344_Solar,system,2011,1,19,fraction,0.0
344_Solar,system,2011,1,20,fraction,0.0
344_Solar,system,2011,1,21,fraction,0.0
344_Solar,system,2011,1,22,fraction,0.0
344_Solar,system,2011,1,23,fraction,0.0
344_Solar,system,2011,1,24,fraction,0.0
