zone,year,month,hour,unit,value
system,2016,1,6909,MW,4309.42
system,2016,1,6910,MW,4309.42
system,2016,1,6911,MW,4309.42
system,2016,1,6912,MW,4309.42
system,2016,1,6913,MW,4296.2300000000005
system,2016,1,6914,MW,4296.2300000000005
system,2016,1,6915,MW,4296.2300000000005
system,2016,1,6916,MW,4296.2300000000005
system,2016,1,6917,MW,4296.2300000000005
system,2016,1,6918,MW,4296.2300000000005
system,2016,1,6919,MW,4296.2300000000005
system,2016,1,6920,MW,4296.2300000000005
system,2016,1,6921,MW,4296.2300000000005
system,2016,1,6922,MW,4296.2300000000005
system,2016,1,6923,MW,4296.2300000000005
system,2016,1,6924,MW,4296.2300000000005
system,2016,1,6925,MW,4296.2300000000005
system,2016,1,6926,MW,4296.2300000000005
system,2016,1,6927,MW,4296.2300000000005
system,2016,1,6928,MW,4296.2300000000005
system,2016,1,6929,MW,4296.2300000000005
system,2016,1,6930,MW,4296.2300000000005
system,2016,1,6931,MW,4296.2300000000005
system,2016,1,6932,MW,4296.2300000000005
system,2016,1,6933,MW,4296.2300000000005
system,2016,1,6934,MW,4296.2300000000005
system,2016,1,6935,MW,4296.2300000000005
system,2016,1,6936,MW,4296.2300000000005
system,2016,1,6937,MW,4288.820000000001
system,2016,1,6938,MW,4288.820000000001
system,2016,1,6939,MW,4288.820000000001
system,2016,1,6940,MW,4288.820000000001
system,2016,1,6941,MW,4288.820000000001
system,2016,1,6942,MW,4288.820000000001
system,2016,1,6943,MW,4288.820000000001
system,2016,1,6944,MW,4288.820000000001
system,2016,1,6945,MW,4288.820000000001
system,2016,1,6946,MW,4288.820000000001
system,2016,1,6947,MW,4288.820000000001
system,2016,1,6948,MW,4288.820000000001
system,2016,1,6949,MW,4288.820000000001
system,2016,1,6950,MW,4288.820000000001
system,2016,1,6951,MW,4288.820000000001
system,2016,1,6952,MW,4288.820000000001
system,2016,1,6953,MW,4288.820000000001
system,2016,1,6954,MW,4288.820000000001
system,2016,1,6955,MW,4288.820000000001
