tech,year,unit,value
Lower_Granite,2030,USD/tonne,0.0
Little_Goose,2020,USD/tonne,0.0
Little_Goose,2021,USD/tonne,0.0
Little_Goose,2022,USD/tonne,0.0
Little_Goose,2023,USD/tonne,0.0
Little_Goose,2024,USD/tonne,0.0
Little_Goose,2025,USD/tonne,0.0
Little_Goose,2026,USD/tonne,0.0
Little_Goose,2027,USD/tonne,0.0
Little_Goose,2028,USD/tonne,0.0
Little_Goose,2029,USD/tonne,0.0
Little_Goose,2030,USD/tonne,0.0
Lower_Monumental,2020,USD/tonne,0.0
Lower_Monumental,2021,USD/tonne,0.0
Lower_Monumental,2022,USD/tonne,0.0
Lower_Monumental,2023,USD/tonne,0.0
Lower_Monumental,2024,USD/tonne,0.0
Lower_Monumental,2025,USD/tonne,0.0
Lower_Monumental,2026,USD/tonne,0.0
Lower_Monumental,2027,USD/tonne,0.0
Lower_Monumental,2028,USD/tonne,0.0
Lower_Monumental,2029,USD/tonne,0.0
Lower_Monumental,2030,USD/tonne,0.0
Ice_Harbor,2020,USD/tonne,0.0
Ice_Harbor,2021,USD/tonne,0.0
Ice_Harbor,2022,USD/tonne,0.0
Ice_Harbor,2023,USD/tonne,0.0
Ice_Harbor,2024,USD/tonne,0.0
Ice_Harbor,2025,USD/tonne,0.0
Ice_Harbor,2026,USD/tonne,0.0
Ice_Harbor,2027,USD/tonne,0.0
Ice_Harbor,2028,USD/tonne,0.0
Ice_Harbor,2029,USD/tonne,0.0
Ice_Harbor,2030,USD/tonne,0.0
McNary,2020,USD/tonne,0.0
McNary,2021,USD/tonne,0.0
McNary,2022,USD/tonne,0.0
McNary,2023,USD/tonne,0.0
McNary,2024,USD/tonne,0.0
McNary,2025,USD/tonne,0.0
McNary,2026,USD/tonne,0.0
McNary,2027,USD/tonne,0.0
McNary,2028,USD/tonne,0.0
McNary,2029,USD/tonne,0.0
McNary,2030,USD/tonne,0.0
John_Day,2020,USD/tonne,0.0
John_Day,2021,USD/tonne,0.0
John_Day,2022,USD/tonne,0.0
John_Day,2023,USD/tonne,0.0
John_Day,2024,USD/tonne,0.0
John_Day,2025,USD/tonne,0.0
John_Day,2026,USD/tonne,0.0
John_Day,2027,USD/tonne,0.0
John_Day,2028,USD/tonne,0.0
John_Day,2029,USD/tonne,0.0
John_Day,2030,USD/tonne,0.0
The_Dalles,2020,USD/tonne,0.0
The_Dalles,2021,USD/tonne,0.0
The_Dalles,2022,USD/tonne,0.0
The_Dalles,2023,USD/tonne,0.0
The_Dalles,2024,USD/tonne,0.0
The_Dalles,2025,USD/tonne,0.0
The_Dalles,2026,USD/tonne,0.0
The_Dalles,2027,USD/tonne,0.0
The_Dalles,2028,USD/tonne,0.0
The_Dalles,2029,USD/tonne,0.0
The_Dalles,2030,USD/tonne,0.0
Bonneville,2020,USD/tonne,0.0
Bonneville,2021,USD/tonne,0.0
Bonneville,2022,USD/tonne,0.0
Bonneville,2023,USD/tonne,0.0
Bonneville,2024,USD/tonne,0.0
Bonneville,2025,USD/tonne,0.0
Bonneville,2026,USD/tonne,0.0
Bonneville,2027,USD/tonne,0.0
Bonneville,2028,USD/tonne,0.0
Bonneville,2029,USD/tonne,0.0
Bonneville,2030,USD/tonne,0.0
